mountain,base_depth,region,new_snow,day,year_total
Mount Ashland,76 in.,Oregon,5 in.,"Jan 10, 2013",9 in.
Mount Ashland,77 in.,Oregon,7 in.,"Jan 11, 2013",16 in.
Mount Ashland,69 in.,Oregon,1 in.,"Jan 24, 2013",17 in.
Mount Ashland,70 in.,Oregon,3 in.,"Jan 27, 2013",20 in.
Mount Ashland,73 in.,Oregon,4 in.,"Jan 28, 2013",24 in.
Mount Ashland,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mount Ashland,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mount Ashland,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mount Ashland,71 in.,Oregon,3 in.,"Feb  7, 2013",27 in.
Mount Ashland,72 in.,Oregon,2 in.,"Feb  8, 2013",29 in.
Mount Ashland,65 in.,Oregon,1 in.,"Jan  1, 2011",1 in.
Mount Ashland,49 in.,Oregon,14 in.,"Jan  1, 2010",14 in.
Mount Ashland,15 in.,Oregon,1 in.,"Jan 17, 2012",1 in.
Mount Ashland,75 in.,Oregon,8 in.,"Feb 21, 2013",37 in.
Mount Ashland,76 in.,Oregon,4 in.,"Feb 23, 2013",41 in.
Mount Ashland,59 in.,Oregon,1 in.,"Jan  9, 2011",2 in.
Mount Ashland,39 in.,Oregon,9 in.,"Jan 14, 2010",23 in.
Mount Ashland,15 in.,Oregon,1 in.,"Jan 18, 2012",2 in.
Mount Ashland,71 in.,Oregon,1 in.,"Mar  3, 2013",42 in.
Mount Ashland,71 in.,Oregon,2 in.,"Mar 26, 2013",44 in.
Mount Ashland,41 in.,Oregon,3 in.,"Jan 30, 2011",5 in.
Mount Ashland,43 in.,Oregon,5 in.,"Jan 18, 2010",28 in.
Mount Ashland,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mount Ashland,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mount Ashland,26 in.,Oregon,9 in.,"Jan 19, 2012",11 in.
Mount Ashland,61 in.,Oregon,2 in.,"Apr  5, 2013",46 in.
Mount Ashland,61 in.,Oregon,1 in.,"Apr  6, 2013",47 in.
Mount Ashland,36 in.,Oregon,1 in.,"Feb 10, 2011",6 in.
Mount Ashland,43 in.,Oregon,5 in.,"Jan 19, 2010",33 in.
Mount Ashland,52 in.,Oregon,8 in.,"Jan 21, 2010",41 in.
Mount Ashland,17 in.,Oregon,1 in.,"Jan  9, 2014",1 in.
Mount Ashland,17 in.,Oregon,4 in.,"Jan 12, 2014",5 in.
Mount Ashland,33 in.,Oregon,3 in.,"Jan  2, 2009",3 in.
Mount Ashland,36 in.,Oregon,10 in.,"Jan 20, 2012",21 in.
Mount Ashland,62 in.,Oregon,1 in.,"Apr  7, 2013",48 in.
Mount Ashland,63 in.,Oregon,5 in.,"Feb 17, 2011",11 in.
Mount Ashland,54 in.,Oregon,3 in.,"Jan 22, 2010",44 in.
Mount Ashland,67 in.,Oregon,13 in.,"Jan 25, 2010",57 in.
Mount Ashland,17 in.,Oregon,2 in.,"Jan 30, 2014",7 in.
Mount Ashland,17 in.,Oregon,1 in.,"Feb  1, 2014",8 in.
Mount Ashland,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mount Ashland,26 in.,Oregon,2 in.,"Jan  9, 2009",5 in.
Mount Ashland,50 in.,Oregon,22 in.,"Jan 21, 2012",43 in.
Mount Ashland,67 in.,Oregon,5 in.,"Feb 18, 2011",16 in.
Mount Ashland,67 in.,Oregon,13 in.,"Jan 26, 2010",70 in.
Mount Ashland,67 in.,Oregon,13 in.,"Jan 27, 2010",83 in.
Mount Ashland,17 in.,Oregon,1 in.,"Feb  3, 2014",9 in.
Mount Ashland,17 in.,Oregon,2 in.,"Feb  8, 2014",11 in.
Mount Ashland,23 in.,Oregon,19 in.,"Feb  7, 2015",19 in.
Mount Ashland,25 in.,Oregon,2 in.,"Feb  9, 2015",21 in.
Mount Ashland,27 in.,Oregon,4 in.,"Jan 25, 2009",9 in.
Mount Ashland,51 in.,Oregon,1 in.,"Jan 22, 2012",44 in.
Mount Ashland,66 in.,Oregon,1 in.,"Feb 19, 2011",17 in.
Mount Ashland,65 in.,Oregon,2 in.,"Jan 31, 2010",85 in.
Mount Ashland,67 in.,Oregon,2 in.,"Feb  4, 2010",87 in.
Mount Ashland,17 in.,Oregon,3 in.,"Feb  9, 2014",14 in.
Mount Ashland,12 in.,Oregon,4 in.,"Feb 16, 2014",18 in.
Mount Ashland,24 in.,Oregon,6 in.,"Feb 27, 2015",27 in.
Mount Ashland,27 in.,Oregon,3 in.,"Feb 28, 2015",30 in.
Mount Ashland,29 in.,Oregon,2 in.,"Jan 26, 2009",11 in.
Mount Ashland,51 in.,Oregon,13 in.,"Jan 23, 2012",57 in.
Mount Ashland,66 in.,Oregon,2 in.,"Feb 20, 2011",19 in.
Mount Ashland,66 in.,Oregon,1 in.,"Feb 21, 2011",20 in.
Mount Ashland,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mount Ashland,65 in.,Oregon,3 in.,"Feb  5, 2010",90 in.
Mount Ashland,12 in.,Oregon,4 in.,"Feb 19, 2014",22 in.
Mount Ashland,12 in.,Oregon,9 in.,"Feb 20, 2014",31 in.
Mount Ashland,0 in.,Oregon,3 in.,"Dec 17, 2015",33 in.
Mount Ashland,51 in.,Oregon,2 in.,"Dec 18, 2015",35 in.
Mount Ashland,29 in.,Oregon,1 in.,"Jan 27, 2009",12 in.
Mount Ashland,44 in.,Oregon,4 in.,"Feb  2, 2012",61 in.
Mount Ashland,68 in.,Oregon,3 in.,"Feb 24, 2011",23 in.
Mount Ashland,70 in.,Oregon,7 in.,"Feb 25, 2011",30 in.
Mount Ashland,59 in.,Oregon,1 in.,"Jan  5, 2016",1 in.
Mount Ashland,58 in.,Oregon,4 in.,"Jan  9, 2016",5 in.
Mount Ashland,69 in.,Oregon,5 in.,"Feb  7, 2010",95 in.
Mount Ashland,12 in.,Oregon,2 in.,"Feb 27, 2014",33 in.
Mount Ashland,12 in.,Oregon,1 in.,"Mar  2, 2014",34 in.
Mount Ashland,57 in.,Oregon,11 in.,"Dec 19, 2015",46 in.
Mount Ashland,57 in.,Oregon,1 in.,"Dec 20, 2015",47 in.
Mount Ashland,28 in.,Oregon,2 in.,"Feb  6, 2009",14 in.
Mount Ashland,32 in.,Oregon,2 in.,"Feb  9, 2009",16 in.
Mount Ashland,44 in.,Oregon,2 in.,"Feb 11, 2012",63 in.
Mount Ashland,74 in.,Oregon,4 in.,"Mar  3, 2011",34 in.
Mount Ashland,75 in.,Oregon,2 in.,"Mar  4, 2011",36 in.
Mount Ashland,57 in.,Oregon,8 in.,"Jan 15, 2016",13 in.
Mount Ashland,70 in.,Oregon,2 in.,"Jan 16, 2016",15 in.
Mount Ashland,69 in.,Oregon,3 in.,"Feb 11, 2010",98 in.
Mount Ashland,12 in.,Oregon,5 in.,"Mar  3, 2014",39 in.
Mount Ashland,63 in.,Oregon,12 in.,"Dec 22, 2015",59 in.
Mount Ashland,64 in.,Oregon,6 in.,"Dec 23, 2015",65 in.
Mount Ashland,32 in.,Oregon,2 in.,"Feb 10, 2009",18 in.
Mount Ashland,53 in.,Oregon,10 in.,"Feb 13, 2012",73 in.
Mount Ashland,75 in.,Oregon,2 in.,"Mar  5, 2011",38 in.
Mount Ashland,76 in.,Oregon,3 in.,"Mar  6, 2011",41 in.
Mount Ashland,70 in.,Oregon,3 in.,"Jan 17, 2016",18 in.
Mount Ashland,70 in.,Oregon,14 in.,"Jan 18, 2016",32 in.
Mount Ashland,72 in.,Oregon,5 in.,"Feb 12, 2010",103 in.
Mount Ashland,12 in.,Oregon,1 in.,"Mar  4, 2014",40 in.
Mount Ashland,2 in.,Oregon,1 in.,"Dec  4, 2014",41 in.
Mount Ashland,64 in.,Oregon,2 in.,"Dec 24, 2015",67 in.
Mount Ashland,71 in.,Oregon,3 in.,"Dec 25, 2015",70 in.
Mount Ashland,38 in.,Oregon,3 in.,"Feb 11, 2009",21 in.
Mount Ashland,53 in.,Oregon,10 in.,"Feb 14, 2012",83 in.
Mt. Bachelor,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mount Ashland,80 in.,Oregon,5 in.,"Mar  7, 2011",46 in.
Mount Ashland,70 in.,Oregon,14 in.,"Jan 21, 2016",46 in.
Mount Ashland,84 in.,Oregon,5 in.,"Jan 22, 2016",51 in.
Mount Ashland,74 in.,Oregon,1 in.,"Feb 15, 2010",104 in.
Mount Ashland,16 in.,Oregon,7 in.,"Dec 19, 2014",48 in.
Mount Ashland,21 in.,Oregon,3 in.,"Dec 20, 2014",51 in.
Mount Ashland,70 in.,Oregon,1 in.,"Dec 26, 2015",71 in.
Mount Ashland,70 in.,Oregon,1 in.,"Dec 28, 2015",72 in.
Mount Ashland,42 in.,Oregon,4 in.,"Feb 12, 2009",25 in.
Mount Ashland,51 in.,Oregon,1 in.,"Feb 19, 2012",84 in.
Mt. Bachelor,88 in.,Oregon,3 in.,"Jan  1, 2009",3 in.
Mount Ashland,81 in.,Oregon,1 in.,"Mar 10, 2011",47 in.
Mount Ashland,78 in.,Oregon,5 in.,"Mar 11, 2011",52 in.
Mount Ashland,86 in.,Oregon,4 in.,"Jan 23, 2016",55 in.
Mount Ashland,86 in.,Oregon,3 in.,"Jan 24, 2016",58 in.
Mount Ashland,76 in.,Oregon,1 in.,"Feb 26, 2010",105 in.
Mount Ashland,19 in.,Oregon,2 in.,"Dec 25, 2014",53 in.
Mount Ashland,19 in.,Oregon,3 in.,"Dec 29, 2014",56 in.
Mount Ashland,70 in.,Oregon,2 in.,"Dec 29, 2015",74 in.
Mount Ashland,68 in.,Oregon,2 in.,"Dec 30, 2015",76 in.
Mount Ashland,49 in.,Oregon,8 in.,"Feb 13, 2009",33 in.
Mount Ashland,51 in.,Oregon,4 in.,"Feb 15, 2009",37 in.
Mount Ashland,52 in.,Oregon,1 in.,"Feb 20, 2012",85 in.
Anthony Lakes Mountain Resort,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mt. Bachelor,89 in.,Oregon,6 in.,"Jan  2, 2009",9 in.
Mount Ashland,78 in.,Oregon,4 in.,"Mar 14, 2011",56 in.
Mount Ashland,95 in.,Oregon,15 in.,"Mar 17, 2011",71 in.
Mount Ashland,86 in.,Oregon,2 in.,"Jan 25, 2016",60 in.
Mount Ashland,79 in.,Oregon,2 in.,"Jan 30, 2016",62 in.
Mount Ashland,76 in.,Oregon,1 in.,"Feb 27, 2010",106 in.
Mount Ashland,50 in.,Oregon,2 in.,"Feb 16, 2009",39 in.
Mount Ashland,52 in.,Oregon,1 in.,"Feb 21, 2012",86 in.
Anthony Lakes Mountain Resort,45 in.,Oregon,6 in.,"Jan  1, 2009",6 in.
Mt. Bachelor,93 in.,Oregon,3 in.,"Jan  3, 2009",12 in.
Mount Ashland,96 in.,Oregon,2 in.,"Mar 18, 2011",73 in.
Mount Ashland,111 in.,Oregon,5 in.,"Mar 21, 2011",78 in.
Mount Ashland,79 in.,Oregon,1 in.,"Jan 31, 2016",63 in.
Mount Ashland,79 in.,Oregon,1 in.,"Feb  1, 2016",64 in.
Mount Ashland,81 in.,Oregon,2 in.,"Mar  4, 2010",108 in.
Mount Ashland,84 in.,Oregon,8 in.,"Mar 13, 2010",116 in.
Mount Ashland,50 in.,Oregon,2 in.,"Feb 17, 2009",41 in.
Mount Ashland,52 in.,Oregon,1 in.,"Feb 22, 2012",87 in.
Anthony Lakes Mountain Resort,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Anthony Lakes Mountain Resort,50 in.,Oregon,5 in.,"Jan  3, 2009",11 in.
Mt. Bachelor,93 in.,Oregon,6 in.,"Jan  5, 2009",18 in.
Mount Ashland,110 in.,Oregon,5 in.,"Mar 24, 2011",83 in.
Mount Ashland,79 in.,Oregon,2 in.,"Feb  4, 2016",66 in.
Mount Ashland,66 in.,Oregon,8 in.,"Feb 18, 2016",74 in.
Mount Ashland,71 in.,Oregon,2 in.,"Mar 25, 2010",118 in.
Mount Ashland,50 in.,Oregon,2 in.,"Feb 22, 2009",43 in.
Mount Ashland,50 in.,Oregon,4 in.,"Feb 25, 2012",91 in.
Anthony Lakes Mountain Resort,24 in.,Oregon,3 in.,"Jan  9, 2011",3 in.
Anthony Lakes Mountain Resort,0 in.,Oregon,1 in.,"Jan 14, 2011",4 in.
Anthony Lakes Mountain Resort,50 in.,Oregon,1 in.,"Jan  4, 2009",12 in.
Anthony Lakes Mountain Resort,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Anthony Lakes Mountain Resort,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Anthony Lakes Mountain Resort,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Mt. Bachelor,99 in.,Oregon,2 in.,"Jan  6, 2009",20 in.
Mount Ashland,120 in.,Oregon,11 in.,"Mar 25, 2011",94 in.
Mount Ashland,130 in.,Oregon,11 in.,"Mar 26, 2011",105 in.
Mount Ashland,68 in.,Oregon,4 in.,"Feb 19, 2016",78 in.
Mount Ashland,76 in.,Oregon,5 in.,"Feb 20, 2016",83 in.
Mount Ashland,71 in.,Oregon,4 in.,"Mar 26, 2010",122 in.
Mount Ashland,58 in.,Oregon,11 in.,"Feb 23, 2009",54 in.
Mount Ashland,50 in.,Oregon,1 in.,"Feb 27, 2012",92 in.
Willamette Pass,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Anthony Lakes Mountain Resort,0 in.,Oregon,1 in.,"Jan 26, 2011",5 in.
Anthony Lakes Mountain Resort,61 in.,Oregon,3 in.,"Jan  9, 2009",15 in.
Anthony Lakes Mountain Resort,36 in.,Oregon,1 in.,"Jan 15, 2012",1 in.
Anthony Lakes Mountain Resort,50 in.,Oregon,1 in.,"Jan  6, 2013",1 in.
Anthony Lakes Mountain Resort,44 in.,Oregon,8 in.,"Jan  1, 2010",8 in.
Mt. Bachelor,97 in.,Oregon,3 in.,"Jan  8, 2009",23 in.
Mount Ashland,130 in.,Oregon,5 in.,"Mar 27, 2011",110 in.
Mount Ashland,131 in.,Oregon,4 in.,"Mar 28, 2011",114 in.
Mount Ashland,76 in.,Oregon,1 in.,"Feb 22, 2016",84 in.
Mount Ashland,67 in.,Oregon,1 in.,"Feb 27, 2016",85 in.
Mount Ashland,89 in.,Oregon,9 in.,"Apr  3, 2010",131 in.
Mount Ashland,58 in.,Oregon,11 in.,"Feb 24, 2009",65 in.
Mount Ashland,50 in.,Oregon,1 in.,"Feb 28, 2012",93 in.
Willamette Pass,53 in.,Oregon,3 in.,"Jan  1, 2009",3 in.
Anthony Lakes Mountain Resort,50 in.,Oregon,3 in.,"Feb  6, 2011",8 in.
Anthony Lakes Mountain Resort,61 in.,Oregon,3 in.,"Jan 10, 2009",18 in.
Willamette Pass,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Willamette Pass,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Anthony Lakes Mountain Resort,36 in.,Oregon,3 in.,"Jan 16, 2012",4 in.
Anthony Lakes Mountain Resort,36 in.,Oregon,3 in.,"Jan 17, 2012",7 in.
Anthony Lakes Mountain Resort,50 in.,Oregon,6 in.,"Jan  8, 2013",7 in.
Anthony Lakes Mountain Resort,50 in.,Oregon,6 in.,"Jan  9, 2013",13 in.
Anthony Lakes Mountain Resort,44 in.,Oregon,8 in.,"Jan  2, 2010",16 in.
Anthony Lakes Mountain Resort,43 in.,Oregon,8 in.,"Jan  7, 2010",24 in.
Mt. Bachelor,98 in.,Oregon,5 in.,"Jan  9, 2009",28 in.
Mount Ashland,109 in.,Oregon,2 in.,"Apr  2, 2011",116 in.
Mount Ashland,106 in.,Oregon,1 in.,"Apr  3, 2011",117 in.
Mount Ashland,62 in.,Oregon,1 in.,"Mar  6, 2016",86 in.
Mount Ashland,62 in.,Oregon,4 in.,"Mar  7, 2016",90 in.
Mount Ashland,89 in.,Oregon,1 in.,"Apr  4, 2010",132 in.
Mount Ashland,92 in.,Oregon,1 in.,"Apr  8, 2010",133 in.
Mount Ashland,55 in.,Oregon,1 in.,"Feb 25, 2009",66 in.
Mount Ashland,50 in.,Oregon,1 in.,"Feb 29, 2012",94 in.
Willamette Pass,47 in.,Oregon,4 in.,"Jan  2, 2009",7 in.
Anthony Lakes Mountain Resort,0 in.,Oregon,1 in.,"Feb 17, 2011",9 in.
Willamette Pass,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Anthony Lakes Mountain Resort,61 in.,Oregon,2 in.,"Jan 11, 2009",20 in.
Anthony Lakes Mountain Resort,60 in.,Oregon,1 in.,"Jan 22, 2009",21 in.
Willamette Pass,24 in.,Oregon,4 in.,"Jan  1, 2010",4 in.
Willamette Pass,23 in.,Oregon,2 in.,"Jan  3, 2010",6 in.
Willamette Pass,20 in.,Oregon,2 in.,"Feb 13, 2011",2 in.
Willamette Pass,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Anthony Lakes Mountain Resort,36 in.,Oregon,3 in.,"Jan 18, 2012",10 in.
Anthony Lakes Mountain Resort,36 in.,Oregon,3 in.,"Jan 19, 2012",13 in.
Anthony Lakes Mountain Resort,50 in.,Oregon,5 in.,"Jan 10, 2013",18 in.
Anthony Lakes Mountain Resort,43 in.,Oregon,8 in.,"Jan  8, 2010",32 in.
Mt. Bachelor,88 in.,Oregon,1 in.,"Jan 26, 2009",29 in.
Mount Ashland,107 in.,Oregon,4 in.,"Apr  7, 2011",121 in.
Mount Ashland,62 in.,Oregon,5 in.,"Mar 10, 2016",95 in.
Mount Ashland,89 in.,Oregon,10 in.,"Mar 14, 2016",105 in.
Mount Ashland,95 in.,Oregon,6 in.,"Apr  9, 2010",139 in.
Mount Ashland,56 in.,Oregon,2 in.,"Feb 26, 2009",68 in.
Mount Ashland,70 in.,Oregon,5 in.,"Mar  1, 2012",99 in.
Willamette Pass,48 in.,Oregon,6 in.,"Jan  5, 2009",13 in.
Anthony Lakes Mountain Resort,0 in.,Oregon,2 in.,"Feb 18, 2011",11 in.
Anthony Lakes Mountain Resort,63 in.,Oregon,4 in.,"Feb 19, 2011",15 in.
Willamette Pass,14 in.,Oregon,7 in.,"Jan  1, 2012",7 in.
Anthony Lakes Mountain Resort,60 in.,Oregon,1 in.,"Jan 24, 2009",22 in.
Anthony Lakes Mountain Resort,60 in.,Oregon,2 in.,"Jan 25, 2009",24 in.
Willamette Pass,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Willamette Pass,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Willamette Pass,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Willamette Pass,23 in.,Oregon,2 in.,"Jan 14, 2010",8 in.
Willamette Pass,20 in.,Oregon,10 in.,"Feb 17, 2011",12 in.
Willamette Pass,38 in.,Oregon,1 in.,"Jan  9, 2013",1 in.
Willamette Pass,38 in.,Oregon,10 in.,"Jan 10, 2013",11 in.
Anthony Lakes Mountain Resort,36 in.,Oregon,4 in.,"Jan 22, 2012",17 in.
Anthony Lakes Mountain Resort,56 in.,Oregon,12 in.,"Jan 11, 2013",30 in.
Anthony Lakes Mountain Resort,58 in.,Oregon,2 in.,"Jan 24, 2013",32 in.
Anthony Lakes Mountain Resort,52 in.,Oregon,2 in.,"Jan 13, 2010",34 in.
Mt. Bachelor,92 in.,Oregon,2 in.,"Feb  6, 2009",31 in.
Mount Ashland,108 in.,Oregon,1 in.,"Apr  8, 2011",122 in.
Mount Ashland,74 in.,Oregon,7 in.,"Mar 22, 2016",112 in.
Mount Ashland,2 in.,Oregon,1 in.,"Nov 19, 2010",140 in.
Mount Ashland,14 in.,Oregon,8 in.,"Nov 22, 2010",148 in.
Mount Ashland,56 in.,Oregon,1 in.,"Mar  2, 2009",69 in.
Mount Ashland,72 in.,Oregon,4 in.,"Mar  2, 2012",103 in.
Willamette Pass,48 in.,Oregon,9 in.,"Jan  6, 2009",22 in.
Anthony Lakes Mountain Resort,39 in.,Oregon,9 in.,"Feb 20, 2011",24 in.
Anthony Lakes Mountain Resort,0 in.,Oregon,3 in.,"Feb 21, 2011",27 in.
Anthony Lakes Mountain Resort,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Anthony Lakes Mountain Resort,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Willamette Pass,14 in.,Oregon,7 in.,"Jan  2, 2012",14 in.
Anthony Lakes Mountain Resort,60 in.,Oregon,3 in.,"Jan 29, 2009",27 in.
Willamette Pass,12 in.,Oregon,6 in.,"Jan  9, 2014",6 in.
Willamette Pass,12 in.,Oregon,6 in.,"Jan 11, 2014",12 in.
Willamette Pass,18 in.,Oregon,1 in.,"Mar  1, 2015",1 in.
Willamette Pass,40 in.,Oregon,4 in.,"Dec 19, 2015",5 in.
Willamette Pass,72 in.,Oregon,1 in.,"Jan  6, 2016",1 in.
Willamette Pass,72 in.,Oregon,2 in.,"Jan  9, 2016",3 in.
Willamette Pass,23 in.,Oregon,2 in.,"Jan 18, 2010",10 in.
Willamette Pass,37 in.,Oregon,12 in.,"Feb 18, 2011",24 in.
Willamette Pass,37 in.,Oregon,2 in.,"Feb 19, 2011",26 in.
Willamette Pass,40 in.,Oregon,8 in.,"Jan 11, 2013",19 in.
Willamette Pass,40 in.,Oregon,1 in.,"Jan 24, 2013",20 in.
Anthony Lakes Mountain Resort,36 in.,Oregon,4 in.,"Jan 23, 2012",21 in.
Anthony Lakes Mountain Resort,58 in.,Oregon,4 in.,"Jan 25, 2013",36 in.
Anthony Lakes Mountain Resort,56 in.,Oregon,3 in.,"Jan 26, 2013",39 in.
Anthony Lakes Mountain Resort,52 in.,Oregon,2 in.,"Jan 14, 2010",36 in.
Anthony Lakes Mountain Resort,44 in.,Oregon,1 in.,"Jan 17, 2010",37 in.
Mt. Bachelor,94 in.,Oregon,3 in.,"Feb  7, 2009",34 in.
Mount Ashland,103 in.,Oregon,1 in.,"Apr 15, 2011",123 in.
Mount Ashland,21 in.,Oregon,11 in.,"Nov 22, 2011",134 in.
Mount Ashland,32 in.,Oregon,8 in.,"Dec  3, 2010",156 in.
Mount Ashland,56 in.,Oregon,1 in.,"Mar  3, 2009",70 in.
Mount Ashland,61 in.,Oregon,4 in.,"Mar  4, 2009",74 in.
Mount Ashland,63 in.,Oregon,1 in.,"Mar 11, 2012",104 in.
Mount Ashland,63 in.,Oregon,4 in.,"Mar 12, 2012",108 in.
Willamette Pass,45 in.,Oregon,2 in.,"Jan  7, 2009",24 in.
Anthony Lakes Mountain Resort,0 in.,Oregon,2 in.,"Feb 25, 2011",29 in.
Anthony Lakes Mountain Resort,28 in.,Oregon,1 in.,"Jan  4, 2014",1 in.
Anthony Lakes Mountain Resort,28 in.,Oregon,5 in.,"Jan  8, 2014",6 in.
Anthony Lakes Mountain Resort,49 in.,Oregon,1 in.,"Jan  4, 2015",1 in.
Anthony Lakes Mountain Resort,49 in.,Oregon,1 in.,"Jan  6, 2015",2 in.
Willamette Pass,14 in.,Oregon,1 in.,"Jan  6, 2012",15 in.
Anthony Lakes Mountain Resort,Base Depth,Oregon,24 hr New Snow,Date,Season Snowfall Total
Anthony Lakes Mountain Resort,58 in.,Oregon,2 in.,"Feb  6, 2009",29 in.
Anthony Lakes Mountain Resort,59 in.,Oregon,3 in.,"Feb  7, 2009",32 in.
Willamette Pass,12 in.,Oregon,18 in.,"Jan 12, 2014",30 in.
Willamette Pass,22 in.,Oregon,12 in.,"Feb  8, 2014",42 in.
Willamette Pass,40 in.,Oregon,2 in.,"Dec 20, 2015",7 in.
Willamette Pass,40 in.,Oregon,3 in.,"Dec 21, 2015",10 in.
Willamette Pass,72 in.,Oregon,4 in.,"Jan 14, 2016",7 in.
Willamette Pass,72 in.,Oregon,8 in.,"Jan 15, 2016",15 in.
Willamette Pass,23 in.,Oregon,2 in.,"Jan 19, 2010",12 in.
Willamette Pass,37 in.,Oregon,2 in.,"Feb 21, 2011",28 in.
Willamette Pass,46 in.,Oregon,6 in.,"Feb 25, 2011",34 in.
Willamette Pass,40 in.,Oregon,2 in.,"Jan 25, 2013",22 in.
Willamette Pass,35 in.,Oregon,3 in.,"Jan 26, 2013",25 in.
Anthony Lakes Mountain Resort,36 in.,Oregon,4 in.,"Feb  2, 2012",25 in.
Anthony Lakes Mountain Resort,56 in.,Oregon,2 in.,"Jan 27, 2013",41 in.
Anthony Lakes Mountain Resort,56 in.,Oregon,11 in.,"Jan 28, 2013",52 in.
Anthony Lakes Mountain Resort,44 in.,Oregon,1 in.,"Jan 18, 2010",38 in.
Mt. Bachelor,59 in.,Oregon,2 in.,"Feb  9, 2009",36 in.
Mount Ashland,21 in.,Oregon,11 in.,"Nov 23, 2011",145 in.
Mount Ashland,32 in.,Oregon,1 in.,"Dec  4, 2010",157 in.
Mount Ashland,69 in.,Oregon,8 in.,"Mar  5, 2009",82 in.
Mount Ashland,63 in.,Oregon,4 in.,"Mar 13, 2012",112 in.
Willamette Pass,45 in.,Oregon,3 in.,"Jan  8, 2009",27 in.
Anthony Lakes Mountain Resort,0 in.,Oregon,6 in.,"Mar  2, 2011",35 in.
Mt. Hood Ski Bowl,Base Depth,Mt. Hood,24 hr New Snow,Date,Season Snowfall Total
Mt. Hood Ski Bowl,Base Depth,Mt. Hood,24 hr New Snow,Date,Season Snowfall Total
Mt. Hood Ski Bowl,Base Depth,Mt. Hood,24 hr New Snow,Date,Season Snowfall Total
Anthony Lakes Mountain Resort,42 in.,Oregon,5 in.,"Jan  9, 2014",11 in.
Anthony Lakes Mountain Resort,42 in.,Oregon,2 in.,"Jan 10, 2014",13 in.
Anthony Lakes Mountain Resort,49 in.,Oregon,3 in.,"Jan 16, 2015",5 in.
Anthony Lakes Mountain Resort,49 in.,Oregon,1 in.,"Jan 17, 2015",6 in.
Willamette Pass,14 in.,Oregon,1 in.,"Jan 15, 2012",16 in.
Anthony Lakes Mountain Resort,47 in.,Oregon,3 in.,"Jan  9, 2016",3 in.
Anthony Lakes Mountain Resort,47 in.,Oregon,5 in.,"Jan 14, 2016",8 in.
Anthony Lakes Mountain Resort,59 in.,Oregon,3 in.,"Feb  8, 2009",35 in.
Anthony Lakes Mountain Resort,61 in.,Oregon,6 in.,"Feb 12, 2009",41 in.
Willamette Pass,22 in.,Oregon,1 in.,"Feb  9, 2014",43 in.
Willamette Pass,40 in.,Oregon,10 in.,"Dec 22, 2015",20 in.
Willamette Pass,50 in.,Oregon,26 in.,"Dec 23, 2015",46 in.
Willamette Pass,72 in.,Oregon,5 in.,"Jan 16, 2016",20 in.
Willamette Pass,72 in.,Oregon,3 in.,"Jan 17, 2016",23 in.
Willamette Pass,23 in.,Oregon,3 in.,"Jan 21, 2010",15 in.
Willamette Pass,42 in.,Oregon,1 in.,"Mar  4, 2011",35 in.
Willamette Pass,46 in.,Oregon,12 in.,"Mar  5, 2011",47 in.
Willamette Pass,35 in.,Oregon,2 in.,"Jan 27, 2013",27 in.
Anthony Lakes Mountain Resort,36 in.,Oregon,6 in.,"Feb 12, 2012",31 in.
Anthony Lakes Mountain Resort,36 in.,Oregon,3 in.,"Feb 18, 2012",34 in.
Anthony Lakes Mountain Resort,56 in.,Oregon,8 in.,"Jan 29, 2013",60 in.
Anthony Lakes Mountain Resort,60 in.,Oregon,18 in.,"Jan 30, 2013",78 in.
Anthony Lakes Mountain Resort,44 in.,Oregon,1 in.,"Jan 19, 2010",39 in.
Anthony Lakes Mountain Resort,44 in.,Oregon,1 in.,"Jan 21, 2010",40 in.
Mt. Bachelor,94 in.,Oregon,9 in.,"Feb 11, 2009",45 in.
Mount Ashland,24 in.,Oregon,3 in.,"Nov 25, 2011",148 in.
